刑	刀	ケイ [外] ギョウ	[外] しおき・のり	しおき。罰ばつ。罰ばっする。; のり。手本てほん。決きまり。; 治おさめる。ただす。取とり締しまる。	常 3級
到	刀	トウ	[外] いた.る	いたる。行いきつく。; いたる。来くる。やって来くる。; 行いきわたる。すみまで行いきとどく。; さかさま。さかしま。さかさまにする。ひっくり返かえす。＝倒	常 4級
刺	刀	シ [外] セキ	さ.さる・さ.す [外] そし.る・とげ・なふだ	ささる。さす。とがったもので突つきさす。; そしる。なじる。責せめる。; とげ。はり。細ほそくとがったもの。; なふだ。自分じぶんの名なを知しらせるもの。例れい：名刺めいし; さぐる。様子ようすをうかがう。	常 4級
削	刀	サク [外] ショウ	けず.る [外] そ.ぐ・はつ.る	けずる。そぐ。はつる。けずりとる。表面ひょうめんを薄うすく切きって取とり除のぞく。; 竹たけや木きなどに書かいた文字もじをけずるための小刀こがたな。; 刀かたなの鞘さや。	常 3級
剣	刀	ケン	つるぎ	つるぎ。両側りょうがわに刃はのついたかたな。; つるぎや刀かたなを用もちいる武術ぶじゅつ。	常 4級
剤	刀	ザイ [外] セイ・スイ	[外] ま.ぜる	まぜる。まぜあわせる。調合ちょうごうする。; 薬くすり。調合ちょうごうした薬くすり。; そろえる。切きりそろえる。整ととのえる。; 切きりそろえられた手形てがた。割符わりふ。	常 4級
劣	力	レツ	おと.る [外] いや.しい	おとる。力ちからが弱よわい。他ほかにおよばない。; いやしい。質しつが低ひくい。; わずか。わずかに。やっと。	常 4級
励	力	レイ	はげ.ます・はげ.む	はげます。勧すすめる。元気げんきづける。; はげむ。つとめる。努力どりょくする。	常 3級
勘	力	カン	[外] かんが.える	かんがえる。深ふかく考かんがえる。くらべて考かんがえる。; 罪つみを問といただす。取とり調しらべる。; かん。第六感だいろっかん。直感ちょっかん。	常 3級
募	力	ボ [外] モ	つの.る	つのる。もとめる。広ひろく呼よびかけて人材じんざいやお金かねなどを集あつめる。; つのる。ひどくなる。増長ぞうちょうする。激化げきかする。	常 3級
勧	力	カン [外] ケン	すす.める	すすめる。事ことを行おこなうようにすすめる。; すすめる。はげます。力ちからづける。	常 4級
匠	匚	ショウ	[外] たくみ	たくみ。職人しょくにん。技術者ぎじゅつしゃ。; 技巧ぎこう。工夫くふう。アイディア。趣向しゅこうを凝こらす。; ある分野ぶんやにおいて、きわめてすぐれた人ひと。	常 3級
